restaurant_id,restaurant_name,restaurant_address,restaurant_type,city_name,avg_price,rating,business_hours,recommended_food,queue_time,consumption_time,longitude,latitude,citycode
B0FFF004GY,耶里夏丽(世茂广场店),南京东路829号上海世茂广场L5层西区L502,中餐厅,上海市,105.0,4.5,10:00-22:00,"无花果陈皮牛肉,维秘元气鸽子汤,温辣羊小排,大盘鸡,新疆拌面,椒麻鸡,烤羊腿,烤包子,抓饭王,罗布泊烤鱼",25,75.0,121.47541,31.234086,21
B0LAHLJ4T1,威皇广福和小海鲜(汉口路店),汉口路649号,中餐厅,上海市,106.0,4.8,11:00-24:00,"韭菜煎虾饼,小海鲜,海鲜",25,60.0,121.478028,31.233694,21
B0J3G53XD5,裕兴记·蟹黄面馆(人民广场店),九江路686号腾飞元创大厦1层108室(近金华路),中餐厅,上海市,118.0,4.8,09:00-22:00,"拌面,蟹肉,家常菜,蟹黄,一碗面,浇头,双人餐,螃蟹,虾仁,小吃快餐",15,40.0,121.477921,31.234508,21
B0FFJMI2IF,米禾良日料(人民广场店),九江路660-686号腾飞元创大厦二楼,日本料理,上海市,142.0,4.8,10:30-13:45 16:30-21:00,"牛肉乌冬面,烤秋刀鱼定食,鹅肝寿司,火炙鹅肝鳗鱼定食,三文鱼刺身,牛肉泡菜锅,火炙三文鱼鳗鱼定食,火炙三文鱼鹅肝定食,海鲜饭,烤鳗鱼",25,90.0,121.477479,31.234509,21
B0FFHCZJ95,海底捞火锅(人民广场店),南京东路830号第一百货B馆5楼,中餐厅,上海市,115.0,4.9,10:00-07:00,"冻基围虾,番茄锅底,顶级雪花牛肉,鸳鸯锅底,魔芋丝,毛肚,金针菇,澳洲精品肥牛,血旺,鸭肠",25,90.0,121.474402,31.235907,21
B0K30L2SYP,一绪寿喜烧(上海世茂广场店),南京东路829号上海世茂广场西区L4楼401&403B号商铺,日本料理,上海市,209.0,4.6,11:00-14:30 17:00-21:30,"牛肉,自助餐",25,90.0,121.47577,31.23436,21
B0FFKYNL9S,捞王锅物料理(上海世茂广场店),南京东路829号世茂广场裙房L4层第402与405号商铺,中餐厅,上海市,144.0,4.6,10:00-22:00,"猪肚鸡,羊肉,豆腐,鸡肉",25,90.0,121.475286,31.234065,21
B0I13115MA,麦当劳(华鑫海欣大厦店),福州路666号(人民广场地铁站15号口步行250米),麦当劳,上海市,28.0,4.8,07:00-23:00,"麦当劳超值嗨餐,（2-3人餐）,麦辣美味三件套,原味板烧鸡腿麦满分组合,板烧美味三件套,大脆鸡扒麦满分组合,人气美味尽享套餐,下午茶,汉堡,牛肉",8,20.0,121.478014,31.232384,21
B00153C454,苔圣园酒家(黄浦店),黄河路50号(人民广场地铁站8号口步行210米),中餐厅,上海市,153.0,4.4,10:30-14:00 16:30-20:30,"黑椒牛仔骨,奶油焗扇贝,糖醋小排,风沙鸡,八宝辣酱,咸香鹅肝,冷盘鸡,红烧鮰鱼,糖藕,烤子鱼",25,90.0,121.47116,31.234005,21
B00155LVZV,平成屋日式料理(广西北路店),广西北路245号1楼2楼,日本料理,上海市,91.0,4.8,11:00-24:00,"色拉虾仁,芥末章鱼,烤牛舌,豚骨拉面,棒棒鸡,虾仁蛋包饭,刺身拼盘,烤青花鱼,梅酒,炸鸡块",25,60.0,121.477675,31.233199,21
