accommodation_id,accommodation_name,accommodation_address,accommodation_type,city_name,avg_price,rating,feature_hotel_type,longitude,latitude,citycode
B023B1AQWA,湖畔居度假公寓(千岛湖中心湖区店),千岛湖阳光水岸度假村7幢A座1层,招待所,杭州市,320,4.6,舒适型,119.038356,29.623587,571
B0FFKKWFSC,杭州云岸沐风酒店(南星桥地铁站店),钱江路8号(南星桥地铁站C口步行200米),酒店,杭州市,160,4.4,经济型,120.175184,30.215872,571
B023B0BRLH,富阳鸿鑫宾馆,春秋北路181之11-13号(川德火锅对面),酒店,杭州市,120,4.7,经济型,119.943494,30.057357,571
B023B09JOV,千岛湖秀水舫酒店,阳光路469号,四星级酒店,杭州市,480,4.3,"舒适型,亲子时刻",119.041746,29.626868,571
B023B14FT2,布丁严选酒店(黄龙体育中心文三路地铁站店),万塘路266号(文三路地铁站D3口步行190米),经济型连锁酒店,杭州市,150,4.4,经济型,120.12511,30.277988,571
B0FFLA6F1S,杭州尚徽酒店(西湖文化广场店),上塘路210-2号,酒店,杭州市,220,4.5,经济型,120.165239,30.288122,571
B0383010EU,三亚威阁大酒店,解放路256号,商务酒店,三亚市,380,4.5,"商务酒店,低价实惠",109.506579,18.242421,899
B03830N44B,三亚海边度假公寓,榆海路11号,招待所,三亚市,350,4.1,公寓式酒店,109.527907,18.222077,899
B0FFF3YY8R,三亚尚客优酒店(三亚湾椰梦长廊店),铁路东巷22号,经济型连锁酒店,三亚市,150,4.8,经济型,109.500789,18.255239,899
B0383016VW,三亚湾顺鑫旅馆(三亚湾海月广场凤凰岛店),三亚湾37号,招待所,三亚市,80,3.9,经济型,109.496632,18.257516,899
B03830MZO6,鸿韵旅租(三亚湾店),吉祥街鸿文巷1号,酒店,三亚市,120,3.5,"经济型,低价实惠",109.501112,18.259587,899
B03830NQPV,三亚德钰海景公寓,三亚湾路昌达海景花园A区4单元7楼,酒店,三亚市,180,3.7,民宿,109.500626,18.250645,899
B0FFFF8B6C,三亚简单爱甜蜜海景公寓,三亚湾路20号昌达海景花园A区4单元507室,酒店,三亚市,120,3.4,"民宿,低价实惠",109.500689,18.250713,899
B0FFLMTDYO,三亚湾海忆时光海景公寓(三亚湾椰梦长廊店),三亚湾路碧海蓝天B栋(海日阁)26FA7房,经济型连锁酒店,三亚市,150,5.0,"住宿服务,宾馆酒店,经济型连锁酒店",109.489845,18.266851,899
B0FFG9TWXG,三亚青艺术雅筑客栈(三亚湾店),铁路街儋州三巷3号,招待所,三亚市,150,4.1,"客栈,海滨风光",109.500409,18.256167,899
B0383010F0,三亚科宝主题酒店(解放路步行街店),解放二路316号科宝大厦1层,酒店,三亚市,150,4.3,"主题酒店,低价实惠",109.506271,18.244154,899
B03830049X,三亚凯帝海景酒店,吉祥街92号,酒店,三亚市,320,3.2,经济型,109.500681,18.258609,899
B0FFFC6QNS,丽岛精品美宿(三亚凤凰机场店),凤凰路与机场路交汇处(金凤凰农村银行旁),招待所,三亚市,220,4.6,经济型,109.442689,18.301479,899
B03830105Z,三亚玉阙宾馆(三亚湾店),三亚河东路456号,酒店,三亚市,150,4.5,经济型,109.499878,18.2702,899
B0FFF6X4EB,三亚走走停停酒店(三亚大东海店),下洋田大真岭巷2号,招待所,三亚市,150,4.4,经济型,109.520529,18.228513,899
B03830177O,三亚京亚公寓,商品街5巷34号,招待所,三亚市,120,4.2,"民宿,低价实惠",109.514813,18.246659,899
B038300CL2,三亚万吉度假公寓,解放四路嘉盛花园2层万吉度假主题公寓(月川桥往农垦医院方向走100米),招待所,三亚市,380,4.7,公寓式酒店,109.498362,18.265169,899
B03830N5R6,三亚林海海景公寓,三亚湾路37号昌达雅华香榭花园C栋二单元,招待所,三亚市,180,4.2,民宿,109.496873,18.257387,899
B0383017BO,三亚南都商务酒店,商品街一巷18号,酒店,三亚市,150,4.1,"经济型,低价实惠",109.513911,18.245192,899
B0383010SN,清雅主题酒店(三亚湾凤凰岛胜利购物广场店),团结路25号,酒店,三亚市,150,4.2,"经济型,低价实惠",109.501861,18.254079,899
B0FFGJQY01,哪里那里海岸精品客栈(三亚亚龙湾店),吉阳镇亚龙湾六盘村内,招待所,三亚市,380,4.5,"客栈,亲子酒店",109.624882,18.250987,899
B0383017HZ,猪小弟海景度假公寓,大东海海花路金茂海景花园3栋409室,招待所,三亚市,120,4.6,青年旅舍,109.520029,18.222576,899
B038300YPN,蓝天国际青年旅舍(三亚大东海店),大东海海韵路蓝海巷1号,招待所,三亚市,80,4.0,"青年旅舍,海滨风光",109.522085,18.222612,899
B038300BFB,华利旅馆(翠景蓝湾南),吉阳镇亚龙湾路下新村28号,招待所,三亚市,80,4.0,"旅馆,低价实惠",109.588427,18.281301,899
B03830MRD8,悦海好家酒店(三亚解放路步行街汽车总站店),解放路360-11号,经济型连锁酒店,三亚市,150,3.9,"经济型,低价实惠",109.506098,18.245079,899
B0383016YO,三亚海茹兰宾馆,解放路524号汽车大厦9层,三星级酒店,三亚市,180,4.0,"旅馆,低价实惠",109.504981,18.250429,899
