city_id,up_ad_name,up_ad_code,cityname,adcode,citycode
140702_0354,,,榆次区,140702,0354
140703_0354,,,太谷区,140703,0354
140721_0354,,,榆社县,140721,0354
140722_0354,,,左权县,140722,0354
140723_0354,,,和顺县,140723,0354
140724_0354,,,昔阳县,140724,0354
140725_0354,,,寿阳县,140725,0354
140727_0354,,,祁县,140727,0354
140728_0354,,,平遥县,140728,0354
140729_0354,,,灵石县,140729,0354
140781_0354,,,介休市,140781,0354
140800_0359,,,运城市,140800,0359
140802_0359,,,盐湖区,140802,0359
140821_0359,,,临猗县,140821,0359
140822_0359,,,万荣县,140822,0359
140823_0359,,,闻喜县,140823,0359
140824_0359,,,稷山县,140824,0359
140825_0359,,,新绛县,140825,0359
140826_0359,,,绛县,140826,0359
140827_0359,,,垣曲县,140827,0359
140828_0359,,,夏县,140828,0359
140829_0359,,,平陆县,140829,0359
140830_0359,,,芮城县,140830,0359
140881_0359,,,永济市,140881,0359
140882_0359,,,河津市,140882,0359
140900_0350,,,忻州市,140900,0350
140902_0350,,,忻府区,140902,0350
140921_0350,,,定襄县,140921,0350
140922_0350,,,五台县,140922,0350
140923_0350,,,代县,140923,0350
140924_0350,,,繁峙县,140924,0350
140925_0350,,,宁武县,140925,0350
140926_0350,,,静乐县,140926,0350
140927_0350,,,神池县,140927,0350
140928_0350,,,五寨县,140928,0350
140929_0350,,,岢岚县,140929,0350
140930_0350,,,河曲县,140930,0350
140931_0350,,,保德县,140931,0350
140932_0350,,,偏关县,140932,0350
140981_0350,,,原平市,140981,0350
141000_0357,,,临汾市,141000,0357
141002_0357,,,尧都区,141002,0357
141021_0357,,,曲沃县,141021,0357
141022_0357,,,翼城县,141022,0357
141023_0357,,,襄汾县,141023,0357
141024_0357,,,洪洞县,141024,0357
141025_0357,,,古县,141025,0357
141026_0357,,,安泽县,141026,0357
141027_0357,,,浮山县,141027,0357
141028_0357,,,吉县,141028,0357
141029_0357,,,乡宁县,141029,0357
141030_0357,,,大宁县,141030,0357
141031_0357,,,隰县,141031,0357
141032_0357,,,永和县,141032,0357
141033_0357,,,蒲县,141033,0357
141034_0357,,,汾西县,141034,0357
141081_0357,,,侯马市,141081,0357
141082_0357,,,霍州市,141082,0357
141100_0358,,,吕梁市,141100,0358
141102_0358,,,离石区,141102,0358
